comune,mcp,locale,locale15,n_celle,max30,max15,celle_nz,min_polo,classe,scarto,quota_nz
Casape,1.961263,0.0,0.0,8,0.0,0.0,0,26.1,C - Cintura,1.961263,0.0
Castelliri,1.959836,1.263157894736842,0.0,19,2.0,0.0,14,22.8,C - Cintura,0.6966781052631579,0.7368421052631579
Cerreto Laziale,1.956525,0.5,0.0,16,1.0,0.0,8,26.3,C - Cintura,1.456525,0.5
Morolo,1.955757,0.6129032258064516,0.0,31,1.0,0.0,19,26.5,C - Cintura,1.3428537741935482,0.6129032258064516
Pignataro Interamna,1.955251,1.09375,0.03125,32,2.0,1.0,32,13.7,C - Cintura,0.8615010000000001,1.0
Posta Fibreno,1.946375,1.2307692307692308,0.6923076923076923,13,2.0,1.0,13,28.8,D - Intermedio,0.7156057692307691,1.0
Belmonte Castello,1.946207,1.7647058823529411,0.23529411764705882,17,2.0,1.0,16,14.9,C - Cintura,0.1815011176470589,0.9411764705882353
Caprarola,1.93956,0.410958904109589,0.0,73,1.0,0.0,30,23.6,C - Cintura,1.5286010958904108,0.410958904109589
Sant'Andrea del Garigliano,1.93093,0.6363636363636364,0.0,22,1.0,0.0,14,22.8,C - Cintura,1.2945663636363638,0.6363636363636364
Nepi,1.924804,0.9528301886792453,0.018867924528301886,106,3.0,1.0,81,38.7,D - Intermedio,0.9719738113207547,0.7641509433962265
Santi Cosma e Damiano,1.922769,1.146341463414634,0.04878048780487805,41,2.0,1.0,37,29.3,D - Intermedio,0.7764275365853659,0.9024390243902439
Gerano,1.919821,0.5,0.0,12,1.0,0.0,6,28.5,D - Intermedio,1.419821,0.5
Coreno Ausonio,1.914145,0.5483870967741935,0.0,31,1.0,0.0,17,28.9,D - Intermedio,1.3657579032258065,0.5483870967741935
Ausonia,1.911098,0.92,0.04,25,2.0,1.0,22,25.7,C - Cintura,0.9910979999999999,0.88
Ferentino,1.907043,0.99,0.32,100,2.0,1.0,82,20.5,C - Cintura,0.917043,0.82
Casalvieri,1.905368,1.5757575757575757,0.18181818181818182,33,2.0,1.0,33,24.0,C - Cintura,0.32961042424242426,1.0
Marcellina,1.903416,0.9,0.0,20,1.0,0.0,18,19.7,C - Cintura,1.003416,0.9
Anticoli Corrado,1.903321,0.3,0.0,20,2.0,0.0,5,31.3,D - Intermedio,1.603321,0.25
Tuscania,1.902043,0.26394052044609667,0.007434944237918215,269,1.0,1.0,71,22.4,C - Cintura,1.6381024795539032,0.26394052044609667
Castelforte,1.899736,0.8285714285714286,0.05714285714285714,35,2.0,1.0,17,29.9,D - Intermedio,1.0711645714285716,0.4857142857142857
Anguillara Sabazia,1.896965,1.163265306122449,0.24489795918367346,98,3.0,1.0,94,36.0,D - Intermedio,0.7336996938775511,0.9591836734693877
Villa Latina,1.895965,0.6363636363636364,0.0,22,2.0,0.0,8,22.9,C - Cintura,1.2596013636363637,0.36363636363636365
Pontinia,1.89486,1.1901408450704225,0.04225352112676056,142,2.0,1.0,129,24.0,C - Cintura,0.7047191549295775,0.9084507042253521
Rocca Massima,1.894188,0.2916666666666667,0.0,24,2.0,0.0,5,30.4,D - Intermedio,1.6025213333333332,0.20833333333333334
Bassano in Teverina,1.871377,0.1875,0.0,16,1.0,0.0,3,19.8,C - Cintura,1.683877,0.1875
Isola del Liri,1.869307,1.263157894736842,0.05263157894736842,19,2.0,1.0,19,26.7,C - Cintura,0.606149105263158,1.0
Sabaudia,1.865518,0.988950276243094,0.0,181,2.0,0.0,140,30.7,D - Intermedio,0.8765677237569061,0.7734806629834254
Sant'Elia Fiumerapido,1.856701,0.8461538461538461,0.34615384615384615,52,2.0,1.0,34,10.4,C - Cintura,1.010547153846154,0.6538461538461539
Ronciglione,1.851262,0.38461538461538464,0.0,65,1.0,0.0,25,25.5,C - Cintura,1.4666466153846154,0.38461538461538464
Cineto Romano,1.845402,0.42857142857142855,0.0,14,2.0,0.0,5,27.5,C - Cintura,1.4168305714285714,0.35714285714285715
Settefrati,1.836122,0.13114754098360656,0.0,61,2.0,0.0,7,31.3,D - Intermedio,1.7049744590163936,0.11475409836065574
San Donato Val di Comino,1.821804,0.6808510638297872,0.0,47,1.0,0.0,32,28.7,D - Intermedio,1.1409529361702129,0.6808510638297872
Sant'Apollinare,1.81366,0.7727272727272727,0.0,22,1.0,0.0,17,17.9,C - Cintura,1.0409327272727273,0.7727272727272727
Proceno,1.795587,0.5357142857142857,0.19642857142857142,56,1.0,1.0,30,35.7,D - Intermedio,1.2598727142857142,0.5357142857142857
Palombara Sabina,1.790423,0.7319587628865979,0.0,97,2.0,0.0,62,28.2,D - Intermedio,1.058464237113402,0.6391752577319587
